transaction_ref,account_id,amount,currency,transaction_type,channel,counterparty_account,counterparty_bank,counterparty_jurisdiction,description,transaction_timestamp
TXN_CTR_FIRE_01,ACC_000001,100000,INR,DEPOSIT,NEFT,EXT_1001,HDFC,IN,CTR exactly at threshold,2026-09-10T09:00:00+05:30
TXN_CTR_FIRE_02,ACC_000001,250000,INR,DEPOSIT,RTGS,EXT_1002,ICICI,IN,CTR above threshold,2026-09-10T09:05:00+05:30
TXN_CTR_NOFIRE_01,ACC_000001,99999,INR,DEPOSIT,NEFT,EXT_1003,SBI,IN,CTR just under threshold,2026-09-10T09:10:00+05:30
TXN_HRJ_FIRE_IR,ACC_000001,5000,INR,TRANSFER,SWIFT,EXT_1004,Bank Melli,IR,High risk Iran,2026-09-10T09:15:00+05:30
TXN_HRJ_FIRE_KP,ACC_000001,7000,INR,TRANSFER,SWIFT,EXT_1005,DPRK Bank,KP,High risk North Korea,2026-09-10T09:20:00+05:30
TXN_HRJ_FIRE_SY,ACC_000001,8000,INR,TRANSFER,SWIFT,EXT_1006,Syria Bank,SY,High risk Syria,2026-09-10T09:25:00+05:30
TXN_HRJ_NOFIRE_US,ACC_000001,9000,INR,TRANSFER,SWIFT,EXT_1007,Chase,US,Not high risk,2026-09-10T09:30:00+05:30
TXN_HRJ_NOFIRE_NULL,ACC_000001,9000,INR,TRANSFER,SWIFT,EXT_1008,Local,,No jurisdiction,2026-09-10T09:35:00+05:30
TXN_STRUCT_01,ACC_000002,900000,INR,WITHDRAWAL,RTGS,EXT_2001,HDFC,IN,Structuring lower boundary,2026-09-11T08:00:00+05:30
TXN_STRUCT_02,ACC_000002,950000,INR,WITHDRAWAL,RTGS,EXT_2002,ICICI,IN,Structuring mid,2026-09-11T08:30:00+05:30
TXN_STRUCT_03,ACC_000002,999999,INR,WITHDRAWAL,RTGS,EXT_2003,SBI,IN,Structuring upper boundary fires,2026-09-11T09:00:00+05:30
TXN_STRUCT_NOFIRE_LOW,ACC_000002,899999,INR,WITHDRAWAL,RTGS,EXT_2004,AXIS,IN,Just below structuring band,2026-09-11T09:30:00+05:30
TXN_STRUCT_NOFIRE_HIGH,ACC_000002,1000000,INR,WITHDRAWAL,RTGS,EXT_2005,YES,IN,Just above structuring band,2026-09-11T09:45:00+05:30
TXN_ROUND_01,ACC_000001,100000,INR,PAYMENT,UPI,EXT_3001,PayBank,IN,Round 1 lakh,2026-09-12T10:00:00+05:30
TXN_ROUND_02,ACC_000001,500000,INR,PAYMENT,UPI,EXT_3002,PayBank,IN,Round 5 lakh,2026-09-12T10:30:00+05:30
TXN_ROUND_03,ACC_000001,200000,INR,PAYMENT,UPI,EXT_3003,PayBank,IN,Round 2 lakh third,2026-09-12T11:00:00+05:30
TXN_ROUND_NOFIRE,ACC_000001,150001,INR,PAYMENT,UPI,EXT_3004,PayBank,IN,Not a round multiple,2026-09-12T11:30:00+05:30
TXN_RAPID_IN,ACC_000002,1000000,INR,DEPOSIT,RTGS,EXT_4001,HDFC,IN,Rapid movement inflow,2026-09-13T08:00:00+05:30
TXN_RAPID_OUT_01,ACC_000002,500000,INR,TRANSFER,RTGS,EXT_4002,ICICI,IN,Rapid outflow part 1,2026-09-13T09:00:00+05:30
TXN_RAPID_OUT_02,ACC_000002,300000,INR,WITHDRAWAL,RTGS,EXT_4003,SBI,IN,Rapid outflow part 2 hits 80pct,2026-09-13T10:00:00+05:30
TXN_BEHAV_BASE_01,ACC_000001,10000,INR,PAYMENT,UPI,EXT_5001,Shop,IN,Baseline small 1,2026-08-01T10:00:00+05:30
TXN_BEHAV_BASE_02,ACC_000001,12000,INR,PAYMENT,UPI,EXT_5002,Shop,IN,Baseline small 2,2026-08-05T10:00:00+05:30
TXN_BEHAV_BASE_03,ACC_000001,11000,INR,PAYMENT,UPI,EXT_5003,Shop,IN,Baseline small 3,2026-08-10T10:00:00+05:30
TXN_BEHAV_FIRE,ACC_000001,90000,INR,PAYMENT,UPI,EXT_5004,Shop,IN,Way above 3x baseline avg,2026-08-15T10:00:00+05:30
TXN_BEHAV_NOFIRE,ACC_000001,20000,INR,PAYMENT,UPI,EXT_5005,Shop,IN,Within normal range,2026-08-20T10:00:00+05:30
TXN_MULTI_HRJ_CTR,ACC_000001,300000,INR,TRANSFER,SWIFT,EXT_6001,Bank Melli,IR,Large AND high-risk both fire,2026-09-14T10:00:00+05:30
TXN_PLAIN_01,ACC_000002,3000,INR,PAYMENT,UPI,EXT_6002,Shop,IN,Ordinary no fire,2026-09-14T11:00:00+05:30
TXN_PLAIN_02,ACC_000002,4500,INR,PAYMENT,UPI,EXT_6003,Shop,IN,Ordinary no fire,2026-09-14T11:30:00+05:30
TXN_FAIL_UNKNOWN_ACCT,ACC_999999,50000,INR,DEPOSIT,NEFT,EXT_7001,HDFC,IN,Unknown account should fail,2026-09-15T10:00:00+05:30
TXN_FAIL_BAD_AMOUNT,ACC_000001,notanumber,INR,DEPOSIT,NEFT,EXT_7002,HDFC,IN,Non numeric amount should fail,2026-09-15T10:05:00+05:30
TXN_FAIL_MISSING_AMOUNT,ACC_000001,,INR,DEPOSIT,NEFT,EXT_7003,HDFC,IN,Missing required amount should fail,2026-09-15T10:10:00+05:30
TXN_FAIL_MISSING_CURRENCY,ACC_000001,50000,,DEPOSIT,NEFT,EXT_7004,HDFC,IN,Missing required currency should fail,2026-09-15T10:15:00+05:30
TXN_FAIL_BAD_TIMESTAMP,ACC_000001,50000,INR,DEPOSIT,NEFT,EXT_7005,HDFC,IN,Bad timestamp should fail,19-09-2026 10:20
TXN_FAIL_MISSING_TIMESTAMP,ACC_000001,50000,INR,DEPOSIT,NEFT,EXT_7006,HDFC,IN,Missing required timestamp should fail,
TXN_CTR_FIRE_01,ACC_000001,100000,INR,DEPOSIT,NEFT,EXT_7007,HDFC,IN,Duplicate ref should fail,2026-09-15T10:25:00+05:30
TXN_FAIL_UNKNOWN_CCY,ACC_000001,50000,ZZZ,INR,DEPOSIT,NEFT,EXT_7008,Bad currency code,2026-09-15T10:30:00+05:30
TXN_EDGE_ZERO,ACC_000002,0,INR,DEPOSIT,NEFT,EXT_8001,HDFC,IN,Zero amount edge,2026-09-16T10:00:00+05:30
TXN_EDGE_NEGATIVE,ACC_000002,-5000,INR,PAYMENT,UPI,EXT_8002,Shop,IN,Negative amount edge,2026-09-16T10:05:00+05:30
TXN_EDGE_LARGE,ACC_000002,99999999,INR,DEPOSIT,RTGS,EXT_8003,HDFC,IN,Very large amount CTR fires,2026-09-16T10:10:00+05:30
TXN_EDGE_HRJ_CASE,ACC_000002,6000,INR,TRANSFER,SWIFT,EXT_8004,Bank Melli,ir,Lowercase jurisdiction no match,2026-09-16T10:15:00+05:30
